top,bookname,click,info,label,type
75,重生大亨时代,3324,"（稳定每日六千）2007年末，正值世纪之交的第7个年头，整个中国互联网正迎来一个长达十几年的黄金时代，深圳马正抱着来之不易的胜利狂啃即时通讯半壁江山。
         杭州马的电商物流正在忙的不亦乐乎，兄弟刘正看着手下的物流马不停蹄的明修暗道，飞起来的猪还在肚子里没有任何的动静，黄色的袋鼠和蓝色的骑士还在酝酿气氛。
       外国资本孜孜不倦的谋求出路，08年的奥运火花却已经隐隐约约的看见了一丝眉目。
       在这个黄金时代巨大的风口尾巴尖上，林希带着前世的记忆重回十七岁那年即将踏入高考的转折口，看着眼琳琅满目的灯火，隔壁黑网吧里连绵不断的“屠龙刀””刀他“疯狂的喊声。
        林希眼中涌出无限的热泪，立誓要在这个黄金年代抓住最后的风口，成为顶级的商业大佬！",重生 技术流 大亨 制霸全球,都市·娱乐
76,大刁民,3281,自己选的路，哪怕跪着爬也要爬到终点：困于昆仑山读了二十年等身书的刁民持才入都市，开始了他非同寻常的人生，步步攀升。（微信公众平台：仲星羽、书友群：210967935）,,都市·娱乐
77,开个诊所来修仙,3151,"我是天生的善恶中间人，天外诊所的主人，我治百病也替天行道。
我的故事从一条狗开始，那一夜它送了我一个诊所……",爽文 升级 小神医 都市修仙,都市·娱乐
78,抽奖从滴滴司机开始,3069,"叮，恭喜宿主成为滴滴司机，并完成首次订单，奖励神级车技！
叮，恭喜宿主完成一单送外卖的任务，奖励上市酒店50%的股份！
叮，恭喜宿主完成一单跑腿订单，奖励高级咏春拳！
……
……
韩诚看着眼前的系统懵逼了——“职业打工抽奖系统”！
“所以，只要我打工，就能抽奖？”
于是，表面上是滴滴司机，跑腿小哥，外卖小哥，快递小哥……的普通打工人韩诚，内里确是男神、黑客、神医、风水大师、教授……全球首富！
",爽文 搞笑 扮猪吃虎 系统,都市·娱乐
79,春雷1979,3052,"我叫韩春雷。
我永远怀念1979年那个柳絮纷飞的春天。
那一年，我有一个小小的梦想。
那一年，我知道有一个老人在南海画了个圈。
所以，那一年，我们扬帆起航，开始了我的传奇。",重生 生活 改革开放四十 商海奋斗,都市·娱乐
80,都市潜龙,3028,"洛天，有史以来最年轻的暗魂组长，因嗜杀成性入狱三年。
三年后，洛天重归都市，因母亲遗愿和美女总裁结婚，却也因此让平静生活再起波澜……",爽文 热血 搞笑 扮猪吃虎,都市·娱乐
81,重生之首富人生,2978,"酒色财气，是为俗人！
高牧拍了拍身上的灰尘， 既然重生了，肯定不能再有遗憾，唯有变换人生开始逆袭 。
这一世，先知无数，满眼黄金，财富注定信手拈来！
这一世，他势要弥补前世的种种遗憾！
这一世，他要肆无忌惮！他要贪财好色！亦要一身正气！
———他，高牧，这一世惟愿成为一个成功的大俗人。
（已完本《重生之低调大亨》）",重生 生活 商业 逆袭,都市·娱乐
82,狂婿,2976,"新书《鬼医圣手》已在纵横中文网发布，欢迎新老读者观赏。
神秘兵王入赘为婿，受尽他人鄙夷嘲讽。
两年后楚阳为爱妻觉醒，以一己之力掌控天下。",热血 爽文,都市·娱乐
83,地府合同工,2963,"牛头马面笑脸迎，奈何桥上唱征服。
五方鬼帝座上宾，十殿阎罗把酒欢。
不要羡我如此屌，吾之屌，吾自知！
地府代（合）理（同）人（工）…
就是这么清新脱俗辣么屌！",搞笑 生活 法宝 爽文,都市·娱乐
84,特战之王,2910,"那升起的，终将坠落。
那美好的，终将破碎。
那日光下的一切， 都是虚妄。
我从黑暗中来，带着永恒的威严。
弹指遮天，举世无敌。
人生在世，当如天骄。",爽文 热血 恩怨情仇 都市枭雄,都市·娱乐
85,一语破天机,2896,"穷神入体，却被富豪尊崇，敬为当世仙！
点石成金，当为世人谋福，只做善良人！",爽文 风水 道术 升级,都市·娱乐
86,都市最强仙医,2844,本是落魄小医师，意外得到修真界绝世医术的传承，他凭一手针灸神技，成为了美女老板离不开的男人……（群 239552402）,爽文 扮猪吃虎,都市·娱乐
87,武器专家,2805,"新书《军火之王》已上传，地址：http://book.zongheng.com/book/549318.html
求收藏、推荐票啊……",枪械 武器 热血 徐子陵,都市·娱乐
88,重生捡漏从1992开始,2762,"重生回到92年，发家致富靠捡漏。
曾经滨海捡漏王，如今继续创辉煌。
各种古玩白菜价，遍地钞票随便拿。
我是江远，一个注定要震惊古玩圈的男人！",爽文 重生 生活,都市·娱乐
89,读心高手混都市,2651,主人公林文峰遇到妻子劈腿，遭遇车祸却意外拥有读心术，他如何运用读心术赚得第一桶金，又如何从公司底层走向高层，再白手起家创造出一个富可敌国的商业帝国，而后一步步寻得真爱！,情感 职场 现实 都市,都市·娱乐
90,神算赘婿,2583,"遭逢巨变，为了生存，孟浩带着妹妹背井离乡，入赘成了人人唾弃的上门女婿！亲朋看他如死狗，受尽嘲讽与冷落。
机缘巧合，生死之间的孟浩，得到了天命神算子的惊世传承！
自此，算生死，逆天改命！练功法，护美踩豪门！通天医术，吊打一切不服！
",赘婿 废柴流 扮猪吃虎 爽文,都市·娱乐
91,重生之绝代仙尊,2583,一代仙尊重生都市，化身快递员，开启新一世的开挂人生！,爽文 热血 重生 英雄无敌,都市·娱乐
92,男人三十有春天,2565,项阳是一个三十多岁事业失败，离过婚带着小孩的男人，通过自己的坚持和努力，终于再次迎来自己的春天。事业成功，美女入怀！,生活 都市情感 实现理想 美女,都市·娱乐
93,异界魔头在都市,2518,异界大魔头重生都市，成了上门女婿，却被赶了出来。看大魔头一怒如何在都市掀起星风雪雨。欺欺古武。捏捏忍者。拳打狼人，脚踢吸血鬼。......,爽文 热血 重生 扮猪吃虎,都市·娱乐
94,医流武神,2496,一代魔君遭叛徒出卖夺舍重生，修阴阳霸体，掌医道圣典，纵横都市，引得无数美女纷至沓来！已完本《近身狂兵》微信公众号：潇铭】,热血 爽文 扮猪吃虎 潇铭,都市·娱乐
95,武游都市,2441,天行千载，地衍良才；天雷震动，金鳞行拳。自幼习武的李游书因为一场变故而逃离故乡，踏上了现代的江湖，成谜的身世、岁月的恩怨、怪异的功法、剧变的协会……越是行走丈量，越多的谜团却开始浮现，枪炮横行、异能崛起、赛博萌芽、门派纷争，内忧外患之下，日渐衰弱的“武”该何去何从。,公路文 异术超能 赛博潮流 逝去的武林,都市·娱乐
96,爆款神医,2421,"美颜膏，为你打造盛世美颜。瘦身水，想瘦哪里瘦哪里……偶得逆天机缘的林风，用那绝世配方、医术道法对一切敌人发起降维打击，创造划时代的爆款神话，悬壶济世，改写世界。各路极品美女纷纷涌来，要坐怀不乱真的好难……怎么办才好？
PS:已有千万字完本经历，放心收藏。书友群：103117241",爽文 热血,都市·娱乐
97,风水小相士,2415,"“无事阁”继承人洛凡，奉师命入赘沐家，三年后离开，江湖波澜再起！
麻衣神相，六爻卜卦，风水堪舆！集佛道儒三家之所长！
重正道，诛邪士，驱邪煞！
洛凡：要我出手？看小爷心情！
交流群：QQ：582950890",都市风水 爽文,都市·娱乐
98,下山虎,2313,"一世人两兄弟，背井离乡举目无亲，活着真的是太难了。
可活人总不能让尿憋死，路还是要继续往前走，就算生活是一滩烂泥，也要捏出朵狗尾巴花来。
【下山虎，为生存，凶猛无比，无所畏惧。】
（QQ群：474558375，作者勿扰，谢谢）",小人物崛起 刁民 都市 励志,都市·娱乐
99,发飙的人生,2215,本是社会底层混小子，老天捂眼，貌若天仙的童养媳，家产亿万的老子，神秘的鬼头面具纷至沓来，自此桀骜不羁，风流不负年华,美女 风流 都市玄幻,都市·娱乐
100,一双鹰瞳,2210,一个落寞的中年男人，在一个凶杀现场意外被刺，九死一生，当他苏醒后，竟然诡异地发生了瞳变，鹰一般的眼瞳，能够透视一切，灵气杀人于无形，从此，开启了他的传奇人生，美轮美奂的翡翠、令人眩目的古瓷打造了一个商业帝国，姿态万千的几位美女围绕在身边，过着妻妾成群的生活……,热血 生活 英雄无敌,都市·娱乐
1,剑来,1151388,"大千世界，无奇不有。
我陈平安，唯有一剑，可搬山，倒海，降妖，镇魔，敕神，摘星，断江，摧城，开天！
我叫陈平安，平平安安的平安。我是一名剑客。",古典仙侠,武侠·仙侠
2,渡劫之王,991539,王离是玄天宗的修士，带着他修行的师姐在渡劫失败之后脑子就出了些问题，以至于王离的修行之路也变得有点不太正常起来,热血 爽文 搞笑,武侠·仙侠
3,偷香高手,97689,"当主角醒来发现自己变成了宋青书，边上躺着周芷若，外面竟是金庸十四本小说的大乱世！不成为第一高手，自己怎么能比韦小宝活得更幸福！微信公众号：六如和尚
 　　",,武侠·仙侠
4,神国之上,79970,"“这是我的剑，也是我的棺。”十六岁那年，宁长久白衣悬剑，如是说道。
【书友群:一群：1087939747  二群:254424989】",重生 异世 师徒 剧情流,武侠·仙侠
5,夜烬天下,33009,"传说，有大星坠海，名曰飞垣。
坠天之谜，是天灾？是人祸？是偶然？亦或是必然？
他是名门将领之后，又是昆仑修仙弟子，伴随着深海处汹涌的阴谋，古老的恩怨重新浮出水面……",古典仙侠 争霸 异世 武侠,武侠·仙侠
6,平天策,32694,北魏和南朝梁兴盛，却正值整个世界的天地灵气都在逐渐枯竭，正是修行者世界典籍里记载的末法灵竭到来，林意是这个时代里，南朝梁第一批新生的修行者。,争霸 无罪作品 爽文 热血,武侠·仙侠
7,太平客栈,28988,"剑未佩妥，出门已是江湖。
千帆过尽，归来仍是少年。
…………
生逢乱世，战火席卷天下，生灵涂炭，人命犹如草芥。
及冠之时，仗义行侠四海，长剑在手，劈开一挂清明。
十年饮冰，难凉热血。
披荆斩棘，愿开太平。
书友群：769528452",古典仙侠 剑 庙堂 江湖,武侠·仙侠
8,剑王朝,18255,自连灭韩、赵、魏三大王朝，大秦王朝已经迎来前所未有之盛世，强大的修行者层出不穷，人人都以身为秦人而荣，但丁宁，一个出身毫无疑问的秦国都长陵普通的市井少年，每天所想的，却是颠覆大秦王朝，杀死修行已至前所未有的第八境的秦皇帝。,古典仙侠 争霸 无罪作品,武侠·仙侠
9,十方乾坤,18024,"仙元末年，万道争锋，一心想拜入第一仙门，却身怀魔道祖师所留奇书，顺是天意，逆为我命，此生无悔来过。
（古异第二本剧情流仙侠，书友群：76089602 微信公众号：神出古异。）",剧情流 悬念重重 玄幻仙侠,武侠·仙侠
10,浑天记,12676,"第一世，我活得平凡，平凡到不足道哉，但...最轻松，也最短暂；第二世，在朦胧中苦修，在生死中感悟，呵～说真的，有些累；这一世我索性忘了过去，岂料，玄白游鱼化作龙影，脚下七步衍了天地，抬头三尺居然握了寰宇...。问道千载，到头来不过一句，“大道入心如世鞍，一人一剑罩长衫”。
QQ群：790062345山海【烟雨阁】欢迎诸位加入。",装逼不过三刻 帅不过一章 人剑双修 剑歌万古,武侠·仙侠
11,仙朝,11449,"“郢都城的日落，是天底下最美的景色。”
“可惜再也看不到了。”
顾泯微笑着看向朝霞，轻声说道：“大厦已倾，泯然众人。”
ps：已有完本作品《人间最得意》书荒可看。
书友群：654626628（仙朝） 人间读者群： 124190652（人间最得意）
微信公众号&微博：平生未知寒",热血 文青 古典仙侠 剧情流,武侠·仙侠
12,真灵九变,10996,"一个持续了数万年的阴谋，布置下重重的迷雾；一个普通修士的热血奋斗，彰显着激情澎湃；一个门派的崛起，预示着权谋与利益；一场人妖两族的对抗，展示着联盟与背叛；一场大劫的临近，埋藏着杀戮与秘辛；一段段秘辛的揭露，拨开了重重的迷雾。
且看真灵派普通修士陆平，如何在这个大舞台中将自己的存在展示的淋漓尽致，成就一段属于他一个人的传奇，揭开一段段不为人所知的过去！
新书《仙路至尊》已经上传，正急需新老书友支持，拜谢诸位了！",超脱 阴谋 扮猪吃虎 升级,武侠·仙侠
13,我与诸天为敌,8875,神又如何，佛又如何，我只求一世安稳，若诸天不允，我便神挡杀神，佛挡杀佛！,爽文 热血 升级 古典仙侠,武侠·仙侠
14,桃花,8324,"春夏秋冬，叶可长绿。生老病死，人不长生。
若侥幸证得大道，长生之后，又是什么？",斩龙 仙师无双 抬棺入西蜀 我若为青帝,武侠·仙侠
15,剑气满乾坤,8087,"有一少年，持木剑而来，步步登仙。
什么超凡入圣，什么诸天神佛，什么鬼怪妖魔，就让这把木剑来告诉你们，什么叫江湖沉浮，生死旦夕！",热血 爽文 古典仙侠 丹药升级,武侠·仙侠
16,剑绝仙古,7844,江湖上的一个个名门望族是那一枚枚棋子，这名为“江湖”的棋盘上又有多少不为人知的秘密？少年踏上复仇的旅途，却牵引出一个可怕的阴谋！最终手中的剑能否斩尽天下群仙？,古典仙侠 江湖 古风 热血,武侠·仙侠
17,逍妖法外,7711,"大宋国十年春，天子诏敕封妖。
缘起破法三境现世，修行之人问天地借刃，铸肉身为剑，破锋入道，臻至仙境。
法外宇宙，由此而始，止于无边。",热血 剧情 仙侠宇宙,武侠·仙侠
18,苍穹之墟,7320,"一念宙宇倾，一念苍穹裂。一念星河落凡间，一念万古如长夜。
天地洪荒，唯我一念变
我，于灰暗苏醒，向黎明而去！",热血 搞笑 爽文 升级,武侠·仙侠
19,却道寻常,6901,"【网文大神再度执笔，20年仙侠巨制】

走出了倒悬天，登上了十四楼，肩扛着整个人世间，弱冠青衫也敢封天！",无敌 谋算 人间 仙侠,武侠·仙侠
20,师叔万万岁,6532,"昊天宗一代弟子，昊天宗开山祖师的“兄长”，昊天宗所有人的师叔，活了万年的老怪物，史上最强炼气期，帅出天际的第一美男子。
苏凡，终于出关了。
作为一个炼气期就要渡劫的惊世天才，为了能够渡过自己的第十二次雷劫，苏凡决定出关寻找天材地宝，为渡劫做准备，冲击炼气期第十二层。
结果……
苏凡：我只想渡个劫而已，你们能不能不要来惹我了？",扮猪吃虎 古风 生活 英雄无敌,武侠·仙侠
21,仙都,6447,“进山采药去了？”“没，俺爹不让去，说山里有狼，到夜里就叫唤。”,仙都 魏十七,武侠·仙侠
22,降魔之刃,6243,"除魔，要除根。
斩魔，要斩尽！
我辈降魔之人——必将斩尽世间一切魔物。
纵然除魔之路艰辛难行。
吾等心之所向亦无怨无悔！",争霸 末世 古典仙侠 异世,武侠·仙侠
23,仙路至尊,6192,"天可怜见，
本只想在天上捅个窟窿，
谁知道会打碎一个世界！
在一众大神通者委屈的目光注视之下，
杨君山感觉自己冤得慌。
书友群：128946075，微信公众号请关注：睡秋的庄园。",种田 重生 法宝 扮猪吃虎,武侠·仙侠
24,灵风剑,5824,灵风剑法，御风真诀，叶子明练就绝世武功，铲除阎罗宗，击败快刀门，踏平黑松观，围攻黑虎令……斩妖除恶灵风剑，浩淼江湖万里霜！,热血 爽文 英雄无敌 武侠,武侠·仙侠
25,苍穹颠,5675,"神佛乱天地，妖魔护洪荒。
心中一念起，乾坤阴阳逆！
回首一叹天不容，宁堕凡尘不顺从，只为她…颠覆苍穹！
看天道主宰沉浮，三千世界，破碎洪荒终归一！
看少年艰苦修仙，超脱天道，我命由我不由天！
一段传奇逆天路，尽在此中无言处……",融合流 仙侠神话 修真洪荒 封神西游,武侠·仙侠
26,一剑朝天,5519,十年磨一剑，霜刃未曾试。今日把示君，谁有不平事？ 聊天群号:230168483,古典仙侠,武侠·仙侠
27,剑破仙惊,5261,"三个长久的时代，悠长难寻的历史，无数修仙者沦落尘土，仙又在何方。
他身怀绝世医术，却又不得不踏上这漫漫长路。
一人一针一剑——
剑破仙惊！
云端继《仙之武道》之后又一部震撼热血仙侠之作，专注描写人物性格。点击阅读，相信你会喜欢。群号：179687582",热血 爽文,武侠·仙侠
28,刀鬼,5183,天下如棋盘，你我皆为棋子。一群本该在七年之前处死之人，如今却苟且安身在边疆的一处酒馆，却不料天下大势汹汹，复仇、战乱、家国天下、如何抉择？,武侠 扮猪吃虎 古风 热血,武侠·仙侠
29,这个世界很危险,5042,"诡者，谲也！
怪者，异也！
这个世界，有诡怪千变万化，捉星拿月；有武者肩挑山河，拳镇九幽；有练气士餐风饮露，剑撼云霄；有书生口吐雷霆，呼风唤雨；有皇帝脚踏寰宇，气吞万里如虎。
叶青手握长刀，一头闯进了这个波澜壮阔的危险世界！
……
【粉丝群：760799230】
【欢迎灌水聊天，讨论剧情】",热血 法宝 爽文,武侠·仙侠
30,剑出北冥,4875,"在人界的历史中，北冥修的人物生平，一直难以盖棺定论。
他是仙山遗落的一颗明珠，也是人间渺小的一粒沙尘。
他是许多人眼中值得托付性命的友人，也是许多人眼中阴诡狠恶的敌人。
他曾是翩翩佳公子，也曾是沉郁少年郎，是守望人间的仙剑传人，亦或是祸乱天下的邪魔外道。
他于黑暗中成长，于光明中绽放，冰莲开数瓣，似无一瓣相像。
百年之后，史书上的那一笔评价，终究还是未能落下。
或许再过百年，也一样。",古典仙侠 复仇 江湖,武侠·仙侠
31,寂仙,4866,"生灭有序，轮回循理。
诸仙欲逆，我当为劫！",热血 升级 搞笑 英雄无敌,武侠·仙侠
32,人间最得意,4437,"那少年提剑时曾笑言：天地虽大，我只一剑。只不过这一剑气长九万里。书友群：124-190-652 微信公众号&微博：平生未知寒
（本书动漫版权已卖出，动漫制作进行中）
新书仙朝已发布，读者群：654626628",古典仙侠 文青 励志,武侠·仙侠
33,开局修为全靠赌,4416,废柴韩长命的法宝只有一个功能：赌！灵根废柴？练级龟速？筑基无望？那就靠赌吧，没有什么是赌一把不能解决的事情。这是一本沙雕小说，如果写得不够沙雕，你可以来打我！,升级 废柴流 搞笑,武侠·仙侠
34,我是半妖,4102,路漫漫其修远兮，我以半妖之身，踏上凌驾众神之路。（读者qq书群号:普一群:876441971，普二群:963701801全订福狸新群:1039835306，进群截图验证找群主或者管理员，吼吼，我是半妖公众号也有了，直接搜索关注：“我是半妖”即可，会不定期发放番外福利。）,妖宠 小狐狸 凤凰 憨憨,武侠·仙侠
35,诡秘之上,4062,"全网第一本仙侠+克苏鲁小说，几个大神推书都带不火的菜鸟。
以秦末楚汉之争为大背景，将东方神话修行与西方克苏鲁大胆融合创新，既有东方齐天大圣、哪咤，西方神话体系旧日之主等热门神话人物，也有乱世烽火中的家国情怀与江湖义气，儿女情长爱恨纠葛。
少年白夜九世归来，执掌星空第一奇物，屌打三界六道一切天骄，逆天而战！",古典仙侠 虐恋情深 半文青 剧情流,武侠·仙侠
36,我必须修仙啊,4036,"我不想穿越啊，家里还有十几亩的养猪场等着我继承呢， 我怎么就穿越了。
穿越不是你想不想的， 必须穿越！
我不想修仙啊。
不行！
不修仙就得死，必须修仙。
叶争穿越到九州大陆，成为垫底的剑宗弟子，为了保住性命，只能不停的修仙，学习各种功法。",穿越 搞笑 热血,武侠·仙侠
37,九界仙尊,3893,"他曾是仙门弃徒，遭人陷害，千年后重生醒来，凭不灭神魂，盖世神功，令八方风云乱，夺天地造化，掌生死之权，叱咤九境，昔日诸神为惧。
（悬疑仙侠剧情流，书友千人群：76089602。微信公众号：神出古异）",玄幻仙侠 剧情流 悬念重重,武侠·仙侠
38,逆命相师,3796,世间有天命族，生来便被斩去五十年寿元,扮猪吃虎 谋算 爽文 穿越,武侠·仙侠
39,藏锋,3245,"太子弑父，天降灾祸饿殍遍野。
乞儿命苦，数九寒冬家破人亡。
是谁说生死有命富贵在天？
是谁说善恶有报因果轮回？
尽是荒唐！
弱肉强食，何来道义！
物竞天择，何来公平！
倒不如杀他个天昏地暗！
倒不如杀他个天下太平！
新书《龙象》已发布，求支持~
【书友1群346162676】",书剑长安 他曾是少年 仙侠 热血,武侠·仙侠
40,仙路争锋,3183,"修仙如渡河，万马千军竟争帆。因此当你选择了这条路时，你就已经踏上了永不停歇的人生竞赛。要想赢得胜利，需要的不仅是勇往直前的勇气，更要面对无数的风刀霜剑与腥风血雨。
争夺，在踏上仙途之前，就已开始！
搜索“缘分0”，可加公众号，欢迎关注。",热血 升级 唐劫,武侠·仙侠
41,大侠萧金衍,3123,"井外之人，欲吃井底之蛙。
画中猛虎，能伤画外之人。

微信：sanguanyouzai 公众平台：三观犹在",搞笑 江湖 大侠 爽文,武侠·仙侠
42,锦衣长安,3088,"繁花似锦的长安，暗潮涌动的西域，复杂难辨的血案，风云诡谲的朝堂
一个小小内卫司能否翻手为云覆手为雨？
PS：本文偏轻松搞笑，诸位请轻拍板砖",穿越 热血 爽文 搞笑,武侠·仙侠
43,卒舞,2944,"有人招摇撞骗，有人庸庸碌碌。
有鸡鸣狗盗之辈，有凡夫俗子之流。
游侠、赌徒、贩夫、走卒……这样一群无名小卒，要将这乱世再搅个天翻地覆。
“我生不自量，寸寸挽强弓。”",热血 江湖 斗智 权谋,武侠·仙侠
44,戮仙,2931,曾经统御鸿蒙诸界强盛无比的天妖王庭，已经湮没于岁月尘土之中，人族取而代之，在亲手埋葬了妖族的辉煌之后，成为了鸿蒙世界的新主宰。万年之下，前所未有的人族修仙盛世之中，诸多蛰伏异族暗中窥视，一个平凡少年背井离乡，迎来了他突起波澜的人生……,法宝 古典仙侠 丹药升级,武侠·仙侠
45,永生天帝,2787,永生大道，任我杀伐，诸天臣服，万法称帝，我之名号永生天帝……（欢迎加入作者群，群名：五方楼，群号：324878262，我们一起笑傲仙界！！！）,五行 永生天帝 非白 升级,武侠·仙侠
46,仙道九绝,2732,创业青年魂穿到修道世界，来自现代科技的脑瓜子，与修道系统彻底卯上了。雷劫？我有有避雷针！阵法？我会统筹学！剑道？我知道无招胜有招！阴谋诡计？几百部的宫斗剧可不是白看的！各种无厘头，各种打脸，逼得我爆发，就把你们彻底踩在脚下！,重生 搞笑 爽文 升级,武侠·仙侠
47,仙侠世界,2596,当踏上修仙之路，万千仙道在前，而你只是如蝼蚁般存在，当万般欺凌，无数不平落于你身，你是该隐忍，还是该奋起而争，不惧生死？,热血 爽文 仙侠,武侠·仙侠
48,一剑落江湖,2590,"又是一个乱世，无声来临了……
世家，贵族，逃不出这场天择的争霸。
江湖，天下，都已卷入时代的大潮。
巍然屹立的南望山中，有一人持剑而出，以半步天人境，步入这乱世之中，阅这江湖天下……
悠悠百载，浮沉大世，执此一剑，此生为谁！",爽文 热血 英雄无敌,武侠·仙侠
49,我当捕快那些年,2574,"侠之大者，为国为民。让宵小之辈有所震慑，让权贵之人有所忌惮，为沉冤者得雪，为弱小者仗剑，为天下开太平！微信:sanguanyouzai 。交流群：296474023,公众号：三观犹在。",搞笑 探案 六扇门 捕快,武侠·仙侠
50,凡噬仙,2566,没落世家林家林木言，借助家传修真功法木灵功，养葫芦，摧魔藤，种灵药，一步步从凡入仙，掠尽仙魔。,法宝 轻小说 扮猪吃虎 古典仙侠,武侠·仙侠
51,无仙,2562,"追风万里行，寂寞看苍穹;
杯酒千秋去，天外无仙踪。
——光明阁vip群：423807160光明阁聊天群：209710200光明阁贴吧群：240833831无仙书友群：36941198无仙童靴群：36955647",道士 修仙 无仙 曳光,武侠·仙侠
52,长渊行,2498,"（本书实写仙侠）西边荒芜之地中流传着这样一个传说，当昊天散发完它最后的余热和光芒后，黑夜会像渊兽一样吞噬整个世间。
　　可自那个强盛的唐帝国分崩离析以来，这世界又哪一日不是渊夜?
   ……
        临暮色渊夜而行，观世间百态横生。且将一段故事说与诸位听……
　　",古典仙侠 江湖,武侠·仙侠
53,道易天下,2491,"内容简介：
乾坤震艮，离坎兑巽，《易经》竟然是修仙功法，易恒逆流而上，携带八卦盘在仙侠世界中追寻《易经》踪迹，踏过无数艰难险阻，历经无数生死险境，直到有一天，终于屹立在修仙界巅峰。书友qq群：1081489496
阅读略需《易经》知识，共同学习和研究。",热血 穿越 古典仙侠,武侠·仙侠
54,截教少教主,2467,重返洪荒百十春，上清相助做人身。怀中宝珠藏锦绣，手中宝枪破乾坤。,截教 封神 英雄无敌 洪荒,武侠·仙侠
55,千古英雄志,2448,"六国并立，烽烟四起；
千古英雄，华夏一统。",历史军事 侠骨权谋 金戈铁骑,武侠·仙侠
56,一世符仙,2437,"心有乾坤性有种、胸中五气穿云霄。饮尽三千神魔血、踏碎凌霄万重天。
少年背负老祖遗愿，踏上了复仇的修仙之路。他炼神山、吞火海、熔江河、摘日月星辰，谱写出一条惊天动地的旅程。（建了一个QQ群，群号：664215883。喜欢的朋友可以进来交流一下。）",热血 爽文 古典仙侠 争霸,武侠·仙侠
57,我只是一朵云,2416,"前生为云，漂泊万界，今生为人，笑看沧桑。
  踏遍苍古，探索神迹，挖掘寻找曾经的秘密。
   畅游亿万星辰，感悟千万风情，纵横广阔的维度与空间，唯独曾经的那朵云傲世九重天！
  只是那段曾经的感情，在无情岁月里，渐行渐远……",扮猪吃虎 重生 英雄无敌 修仙,武侠·仙侠
58,繁星书士,2359,"悠悠青陆，禹禹独行，落落飞鸿，蓬莱渐翼。

我就是求道之人，陆禹。

（书友交流QQ群971520550，微博：作者李昆仑）",修真 穿越,武侠·仙侠
59,九劫长生记,2282,"武神是这个世界的武道始祖，临终留下一个关于长生的秘密，待后世有缘人去解开。万年来，无数修士趋之若鹜。然而，孰不知在这背后，藏着一个惊天大阴谋。天将欲塌，后世之人，谁才能撑起这片天空？ 
  这是一部草根的奋斗史，也是一部权谋的谍战片，还是一部肺腑的情感剧。
  从故事线来看，偶然一天村里来了个神秘人，自此引发了少年对修道的渴望。十七岁那年，他为了求仙问道，而独闯江湖。有仙履奇缘，也有糟心虐恋；有扬名立万，也有身败名裂；有开宗立派，也有牢狱之灾；有沙场点兵，也有孤灯残影。
  从感情线来看，少年遇到人生的初恋，但因现实而分道扬镳。随后又遇到人生中最重要的两个女人，一个有情，一个有义。三个人的命运交织在一起，最后将走向何方？人生除了爱情，尚有亲情和友情。他的父母是谁？为何要将他遗弃？与同村的玩伴闯荡江湖，情同手足，亲如兄弟。然而两人历经生死，面对世间的诱惑，是不忘初心，还是反目成仇？",奋斗史 权谋剧 情感片,武侠·仙侠
60,仙道书,2261,"携美游天下，取剑拭不平，难道就不是仙途了？
所以是宏大的仙侠故事，也是踏仙登天的传奇。",宏大 古典仙侠 仙 太古,武侠·仙侠
61,白雪歌,2040,我有一刀，救世，救民，救己！,救亡 刀客 英雄无敌 武侠,武侠·仙侠
62,巴山剑场,2013,有一天，当王惊梦背着他的剑进入长陵时，他看到了一个盛世的到来，也看到了剑器榜上的许多豪杰，也不过如土狗尔。,热血 无罪作品,武侠·仙侠
63,我是刀仙,1976,"我叫莫尘，小名小土，我将做一件一般人不敢做，但是先人们做过的事情。
便是看看天上到底有什么？与人间到底有什么区别？
我是一位刀仙，但是苍天很不喜欢刀仙，于是我便要用手中的刀，刺破云霄，穿过雷霆，直上天际，到达仙界，看看那传说中人人畏惧的老天爷…………",励志 生活 修仙,武侠·仙侠
64,一剑尊王,1907,简介： 玲珑神诀， 憾落魔手， 昊天剑引， 除魔卫道； 跌马坡上， 刀光剑影， 迂中道上， 雏凤哀啼； 护一人而甘弃天下， 关山皑皑，万里云月； 集万千宠爱于一身， 桃花纷纷，秋千架下。 看秋怀慈、曹裹儿（原魔门公主小殿下云舒儿）一仙一魔，一师一徒，如何在这波云诡谲，杀机四伏的江湖，上演怎样的风云际会，恩怨纠葛的旷世奇缘…… …… ……,热血 爽文 搞笑 古典仙侠,武侠·仙侠
65,至隐圣仙,1877,"末法时代，人心不古！谁说修真世界一心求道，超然物外！这不过是块掩耳盗铃的遮羞布，当有改天换地的实力之后，忘掉初心，带着掌控天地的欲望，去操纵诸国！
这时诸国背后，皆有修真宗门的身影，其势力无处不在！
穿越而来的方易，获将由、凌神双剑，并身怀天罡之气，在这乱世之中剑斩荆棘，气推寰宇，俨然成为乱世之中的变数，在这诸国之中搅动风云，闯出一片属于自己的天地！",修真 凡人流 仙侠 穿越,武侠·仙侠
66,书剑长安,1862,"两年前，莫听雨横刀赴北地。
两年后，苏长安负兵往长安。
天地太大，众生如介子。
江湖太深，处处伤人心。
血染鞘，斩群妖，一息尚存人不倒。
冲天志，问天道，江湖路上最逍遥。
狂歌大步，扬眉剑出鞘！
新书《龙象》已发布，求支持~
书友群：346162676欢迎加入！",江湖 文青 古典仙侠 长安,武侠·仙侠
